docid,date,hottness
130789,2009-04-03 18:30:00+00:00,881.14103
131067,2009-03-07 18:30:00+00:00,830.1760913
131069,2009-03-07 18:30:00+00:00,829.9542425
131071,2009-12-19 18:30:00+00:00,1380.8181513
131072,2008-10-16 18:30:00+00:00,557.3142425
131073,2009-12-30 18:30:00+00:00,1402.1142425
131074,2009-12-28 18:30:00+00:00,1398.4960913
131076,2009-03-07 18:30:00+00:00,829.9542425
132453,2009-08-13 18:30:00+00:00,1134.28
132456,2009-12-22 18:30:00+00:00,1385.8
132463,2009-12-30 18:30:00+00:00,1401.16
132857,2009-11-15 18:30:00+00:00,1315.2371213
133051,2009-12-27 18:30:00+00:00,1395.8771213
134649,2007-10-25 18:30:00+00:00,-128.3018487
134661,2009-12-28 18:30:00+00:00,1397.7971213
135075,2008-07-10 18:30:00+00:00,368.6771213
135103,2009-12-21 18:30:00+00:00,1384.18103
135118,2009-12-17 18:30:00+00:00,1376.2
135669,2009-12-29 18:30:00+00:00,1399.7171213
136210,2009-12-28 18:30:00+00:00,1397.7971213
136379,2009-12-26 18:30:00+00:00,1393.78103
137325,2009-11-27 18:30:00+00:00,1338.2771213
137798,2009-12-25 18:30:00+00:00,1392.0371213
138180,2006-10-22 18:30:00+00:00,-835.64
138183,2009-12-30 18:30:00+00:00,1401.46103
138188,2006-10-22 18:30:00+00:00,-835.64
138268,2009-04-06 18:30:00+00:00,886.6
138973,2009-06-12 18:30:00+00:00,1016.386128
138975,2009-11-18 18:30:00+00:00,1321.365098
138978,2009-12-30 18:30:00+00:00,1401.46103
138981,2009-12-19 18:30:00+00:00,1380.04
138984,2009-12-30 18:30:00+00:00,1401.9381513
139106,2008-04-07 18:30:00+00:00,188.72
139109,2009-12-30 18:30:00+00:00,1402.1142425
139114,2009-05-06 18:30:00+00:00,944.80206
139115,2009-03-06 18:30:00+00:00,827.8581513
141542,2009-10-28 18:30:00+00:00,1280.6771213
141799,2009-11-24 18:30:00+00:00,1332.9942425
142392,2009-12-14 18:30:00+00:00,1370.74103
142429,2009-11-14 18:30:00+00:00,1312.84
142815,2009-12-30 18:30:00+00:00,1401.16
143262,2006-10-22 18:30:00+00:00,-834.794902
144274,2009-11-09 18:30:00+00:00,1303.7171213
145022,2009-12-14 18:30:00+00:00,1370.44
146369,2009-12-27 18:30:00+00:00,1395.8771213
146566,2009-12-06 18:30:00+00:00,1355.5571213
148932,2009-12-30 18:30:00+00:00,1401.6371213
149503,2009-12-30 18:30:00+00:00,1401.6371213
149856,2009-12-30 18:30:00+00:00,1401.46103
150007,2009-09-22 18:30:00+00:00,1212.1939434
150375,2009-12-30 18:30:00+00:00,1401.46103
150891,2009-12-14 18:30:00+00:00,1370.9171213
151405,2009-09-03 18:30:00+00:00,1174.90103
151598,2009-12-27 18:30:00+00:00,1396.4791812
151611,2009-12-30 18:30:00+00:00,1401.9381513
151686,2002-02-04 18:30:00+00:00,-4139.65897
152084,2009-12-30 18:30:00+00:00,1401.6371213
152502,2009-12-30 18:30:00+00:00,1401.16
152753,2008-09-02 18:30:00+00:00,472.3571213
152778,2009-11-09 18:30:00+00:00,1303.54103
153329,2009-12-21 18:30:00+00:00,1383.88
154570,2009-01-07 18:30:00+00:00,716.1971213
154677,2009-12-20 18:30:00+00:00,1382.4371213
154835,2009-11-18 18:30:00+00:00,1320.9971213
155647,2009-12-30 18:30:00+00:00,1401.6371213
155738,2009-11-22 18:30:00+00:00,1328.2
155930,2009-12-30 18:30:00+00:00,1401.16
155937,2009-12-30 18:30:00+00:00,1401.46103
156096,2009-12-30 18:30:00+00:00,1401.46103
156481,2009-12-10 18:30:00+00:00,1363.2371213
156909,2009-12-11 18:30:00+00:00,1364.68
156910,2009-12-13 18:30:00+00:00,1368.9971213
156917,2009-12-29 18:30:00+00:00,1399.24
158377,2009-11-30 18:30:00+00:00,1344.0371213
158592,2009-12-04 18:30:00+00:00,1351.24
159033,2009-12-28 18:30:00+00:00,1397.62103
159781,2009-12-23 18:30:00+00:00,1388.1971213
160047,2009-11-26 18:30:00+00:00,1336.3571213
160401,2009-12-26 18:30:00+00:00,1393.9571213
162823,2009-12-30 18:30:00+00:00,1401.16
163129,2009-12-29 18:30:00+00:00,1399.7171213
164107,2009-12-17 18:30:00+00:00,1376.50103
164914,2008-05-15 18:30:00+00:00,261.1571213
165505,2009-12-30 18:30:00+00:00,1401.46103
165755,2008-09-02 18:30:00+00:00,472.3571213
165812,2009-12-30 18:30:00+00:00,1401.6371213
167477,2009-05-04 18:30:00+00:00,941.05897
168569,2009-12-30 18:30:00+00:00,1402.3360913
168978,2009-11-14 18:30:00+00:00,1312.84
171404,2009-12-03 18:30:00+00:00,1349.32
172476,2009-08-28 18:30:00+00:00,1163.08
172623,2009-12-30 18:30:00+00:00,1401.16
174717,2009-12-28 18:30:00+00:00,1397.7971213
174768,2009-10-21 18:30:00+00:00,1266.76
174787,2009-11-14 18:30:00+00:00,1313.14103
175373,2009-12-30 18:30:00+00:00,1401.6371213
175866,2009-12-30 18:30:00+00:00,1401.46103
176800,2009-12-30 18:30:00+00:00,1401.6371213
176827,2009-12-23 18:30:00+00:00,1387.72
177775,2009-12-30 18:30:00+00:00,1401.6371213
177946,2008-06-20 18:30:00+00:00,330.2771213
179819,2008-11-13 18:30:00+00:00,610.5971213
179976,2009-09-28 18:30:00+00:00,1223.0771213
180418,2009-01-20 18:30:00+00:00,741.1571213
181134,2006-04-23 18:30:00+00:00,-1184.6028787
181417,2009-12-09 18:30:00+00:00,1361.3171213
182486,2009-12-21 18:30:00+00:00,1383.88
182521,2009-10-09 18:30:00+00:00,1243.72
183460,2009-12-20 18:30:00+00:00,1381.96
183549,2009-12-16 18:30:00+00:00,1374.28
184233,2009-11-09 18:30:00+00:00,1303.24
184599,2009-09-24 18:30:00+00:00,1215.22103
186127,2009-12-30 18:30:00+00:00,1401.16
186186,2009-12-30 18:30:00+00:00,1401.46103
186294,2009-09-09 18:30:00+00:00,1186.5971213
186804,2008-06-25 18:30:00+00:00,339.8771213
187454,2009-03-07 18:30:00+00:00,829.4771213
187558,2008-09-01 18:30:00+00:00,470.26103
187563,2008-08-28 18:30:00+00:00,462.58103
187569,2008-08-20 18:30:00+00:00,446.92
188109,2009-12-21 18:30:00+00:00,1384.3571213
188173,2009-12-28 18:30:00+00:00,1397.7971213
188508,2008-11-11 18:30:00+00:00,606.7571213
188742,2009-12-14 18:30:00+00:00,1370.9171213
188947,2009-12-30 18:30:00+00:00,1401.6371213
189053,2009-12-22 18:30:00+00:00,1385.8
189203,2009-12-30 18:30:00+00:00,1401.16
189543,2009-12-17 18:30:00+00:00,1376.6771213
189627,2009-12-30 18:30:00+00:00,1401.46103
190340,2009-12-28 18:30:00+00:00,1397.32
190375,2009-05-10 18:30:00+00:00,952.18103
190720,2009-12-28 18:30:00+00:00,1397.7971213
190840,2009-03-07 18:30:00+00:00,829.30103
191890,2009-07-21 18:30:00+00:00,1090.5971213
192265,2009-12-18 18:30:00+00:00,1378.5971213
192477,2009-03-20 18:30:00+00:00,854.4371213
193106,2009-12-28 18:30:00+00:00,1397.32
193298,2008-04-12 18:30:00+00:00,197.32
193432,2009-12-19 18:30:00+00:00,1380.04
193823,2009-12-30 18:30:00+00:00,1401.16
194077,2009-12-30 18:30:00+00:00,1401.16
194985,2009-12-09 18:30:00+00:00,1361.14103
195287,2006-10-18 18:30:00+00:00,-842.8428787
195698,2009-12-11 18:30:00+00:00,1364.68
196243,2009-12-30 18:30:00+00:00,1401.16
196803,2009-12-11 18:30:00+00:00,1365.1571213
196935,2009-12-12 18:30:00+00:00,1366.90103
198131,2009-06-24 18:30:00+00:00,1039.125098
198146,2009-12-30 18:30:00+00:00,1401.76206
198562,2008-09-16 18:30:00+00:00,499.06103
198577,2009-07-20 18:30:00+00:00,1088.6771213
199545,2009-12-26 18:30:00+00:00,1393.9571213
199584,2009-12-30 18:30:00+00:00,1401.16
199986,2009-12-30 18:30:00+00:00,1401.46103
200865,2009-08-19 18:30:00+00:00,1145.8
200962,2009-12-27 18:30:00+00:00,1395.8771213
201009,2009-12-21 18:30:00+00:00,1383.88
